"g1name","g2name","value"
"QAT","BIH",3.87298334620742
"ROU","BIH",4.47213595499958
"RWA","BIH",5.47722557505166
"SAU","BIH",6.78232998312527
"SWE","BIH",6.40312423743285
"SGP","BIH",6.2449979983984
"SVN","BIH",4.79583152331272
"SVK","BIH",2.44948974278318
"SLV","BIH",7.34846922834953
"THA","BIH",5.56776436283002
"TUR","BIH",2.23606797749979
"TTO","BIH",2.44948974278318
"TZA","BIH",8.66025403784439
"UGA","BIH",4.35889894354067
"USA","BIH",3.60555127546399
"URY","BIH",4.58257569495584
"VEN","BIH",5.09901951359278
"VNM","BIH",10.0995049383621
"ZAF","BIH",14.7648230602334
"ZMB","BIH",10.770329614269
"ZWE","BIH",6.2449979983984
"ARE","BGD",4.58257569495584
"AFG","BGD",6.557438524302
"AGO","BGD",10.3440804327886
"ARG","BGD",5.3851648071345
"AUT","BGD",2.23606797749979
"AUS","BGD",7.14142842854285
"BIH","BGD",2.23606797749979
"BGD","BGD",0
"BEL","BGD",5
"BFA","BGD",1.73205080756888
"BGR","BGD",2
"BOL","BGD",5.8309518948453
"BRA","BGD",3.74165738677394
"BWA","BGD",9.69535971483266
"CAN","BGD",6.48074069840786
"CHE","BGD",4.35889894354067
"CHL","BGD",4.69041575982343
"CMR","BGD",5
"COL","BGD",12.4096736459909
"CRI","BGD",2.82842712474619
"CZE","BGD",2.44948974278318
"DNK","BGD",4
"DOM","BGD",6.6332495807108
"ECU","BGD",7
"EST","BGD",6.78232998312527
"EGY","BGD",17.4928556845359
"ESP","BGD",2.23606797749979
"FIN","BGD",5.19615242270663
"FRA","BGD",6.70820393249937
"GAB","BGD",12.4498995979887
"GBR","BGD",7.68114574786861
"GHA","BGD",4.89897948556636
"GRC","BGD",5.8309518948453
"GTM","BGD",2.64575131106459
"HKG","BGD",10.6770782520313
"HND","BGD",10.6770782520313
"HRV","BGD",4.12310562561766
"HUN","BGD",4.47213595499958
"IDN","BGD",3.74165738677394
"IRL","BGD",11.7898261225516
"ISR","BGD",5.29150262212918
"IND","BGD",1
"IRQ","BGD",7.28010988928052
"ITA","BGD",5.56776436283002
"JAM","BGD",3.16227766016838
"JOR","BGD",5.09901951359278
"JPN","BGD",5.56776436283002
"KEN","BGD",3.16227766016838
"KGZ","BGD",3.16227766016838
"KOR","BGD",20.0997512422418
"KWT","BGD",3
"KAZ","BGD",7.68114574786861
"LAO","BGD",2.23606797749979
"LBN","BGD",11.5758369027902
"LKA","BGD",2.82842712474619
"LBY","BGD",4
"MDA","BGD",10.8627804912002
"MLI","BGD",5.65685424949238
"MMR","BGD",5.29150262212918
"MUS","BGD",9.4339811320566
"MEX","BGD",11.2694276695846
"MYS","BGD",3.16227766016838
"MOZ","BGD",4.58257569495584
"NER","BGD",5.47722557505166
"NGA","BGD",3.46410161513775
"NLD","BGD",7.07106781186548
"NOR","BGD",8.12403840463596
"NZL","BGD",6.78232998312527
"OMN","BGD",8.66025403784439
"PAN","BGD",7.48331477354788
"PER","BGD",3.3166247903554
"PHL","BGD",4.47213595499958
"PAK","BGD",4.69041575982343
"POL","BGD",4
"PRI","BGD",6.6332495807108
"PRT","BGD",5.65685424949238
"PRY","BGD",1.73205080756888
"QAT","BGD",2.82842712474619
"ROU","BGD",3.87298334620742
"RWA","BGD",4.79583152331272
"SAU","BGD",6.08276253029822
"SWE","BGD",8
"SGP","BGD",5.65685424949238
"SVN","BGD",5.47722557505166
"SVK","BGD",3.3166247903554
"SLV","BGD",6.40312423743285
"THA","BGD",3.74165738677394
"TUR","BGD",3.74165738677394
"TTO","BGD",3.87298334620742
"TZA","BGD",7.74596669241483
"UGA","BGD",3.74165738677394
"USA","BGD",4.24264068711928
"URY","BGD",3.74165738677394
"VEN","BGD",6.40312423743285
"VNM","BGD",11.0905365064094
"ZAF","BGD",13.6747943311773
"ZMB","BGD",9.4339811320566
"ZWE","BGD",5.09901951359278
"ARE","BEL",5.29150262212918
"AFG","BEL",6.6332495807108
"AGO","BEL",9.79795897113271
"ARG","BEL",6.92820323027551
"AUT","BEL",4.69041575982343
"AUS","BEL",6.78232998312527
"BIH","BEL",3.74165738677394
"BGD","BEL",5
"BEL","BEL",0
"BFA","BEL",5.29150262212918
"BGR","BEL",4.58257569495584
"BOL","BEL",7.93725393319377
"BRA","BEL",6.70820393249937
"BWA","BEL",11.1803398874989
"CAN","BEL",4.12310562561766
"CHE","BEL",6.16441400296898
"CHL","BEL",5.74456264653803
"CMR","BEL",6.6332495807108
"COL","BEL",11.4455231422596
"CRI","BEL",5.91607978309962
"CZE","BEL",3.60555127546399
"DNK","BEL",5.3851648071345
"DOM","BEL",6.557438524302
"ECU","BEL",7.07106781186548
"EST","BEL",6.85565460040104
"EGY","BEL",17.4068951855292
"ESP","BEL",4.69041575982343
"FIN","BEL",5.8309518948453
"FRA","BEL",5.8309518948453
"GAB","BEL",13.114877048604
"GBR","BEL",5.09901951359278
"GHA","BEL",7.14142842854285
"GRC","BEL",6.40312423743285
"GTM","BEL",4
"HKG","BEL",10.6301458127346
"HND","BEL",10.2469507659596
"HRV","BEL",2
"HUN","BEL",5
"IDN","BEL",5.74456264653803
"IRL","BEL",7.87400787401181
"ISR","BEL",4.58257569495584
"IND","BEL",4.47213595499958
"IRQ","BEL",6.92820323027551
"ITA","BEL",5.29150262212918
"JAM","BEL",5.19615242270663
"JOR","BEL",5.56776436283002
"JPN","BEL",9.16515138991168
"KEN","BEL",7.28010988928052
"KGZ","BEL",4.35889894354067
"KOR","BEL",18.5202591774521
"KWT","BEL",5.09901951359278
"KAZ","BEL",8.24621125123532
"LAO","BEL",4.89897948556636
"LBN","BEL",11.6189500386223
"LKA","BEL",4.79583152331272
"LBY","BEL",4.35889894354067
"MDA","BEL",10.3440804327886
"MLI","BEL",4.79583152331272
"MMR","BEL",8.77496438739212
"MUS","BEL",9.16515138991168
"MEX","BEL",11.3137084989848
"MYS","BEL",3.87298334620742
"MOZ","BEL",5.8309518948453
"NER","BEL",5.91607978309962
